time,sum_hh_low_HH,sum_hh_med_HH,sum_hh_high_HH,sum_occ_low_BG,sum_occ_med_BG,sum_occ_high_BG,mean_price_low_BG,mean_price_med_BG,mean_price_high_BG,seed
13,10182,13055,11955,11928,12165,11099,131537.07504592263,221961.03822804996,480003.4556749076,1304.0
14,10121,13128,12035,11966,12186,11132,133947.95294513414,223023.30524444603,489232.041776328,1304.0
15,10000,13156,12116,11939,12168,11165,135610.98743510662,224176.36663747768,499886.21815218154,1304.0
16,9717,12981,12047,11742,11978,11025,137959.76631517435,225214.30808026931,508224.993835467,1304.0
17,9650,13051,12142,11790,11993,11060,139951.34451550862,226392.00881506086,517523.9283983353,1304.0
18,9528,12957,12195,11720,11947,11013,142165.01355288393,227671.7888005775,529766.4509907254,1304.0
19,9416,12683,12143,11586,11776,10880,143873.53516657825,228889.510637998,539983.4605234036,1304.0
20,9396,12698,12202,11598,11805,10893,145601.96800305776,230104.71654259894,552098.8248427076,1304.0
21,9379,12790,12340,11651,11865,10993,147405.38108249326,231280.94729765013,567355.2167484614,1304.0
22,9346,12884,12467,11690,11943,11064,149716.54619823527,232576.1839387027,579584.0097802371,1304.0
23,9338,13014,12618,11840,11991,11139,151771.5774119172,233990.0159032286,598924.0230897506,1304.0
24,9282,13147,12766,11906,12039,11250,154346.97077401396,235417.0251849051,622716.1980809289,1304.0
25,9214,13167,12855,11942,12054,11240,157459.82985917386,237099.0148291394,643812.2963778381,1304.0
26,9155,13222,13030,11987,12121,11299,159989.81701358777,238687.70110595445,660333.8896295073,1304.0
27,9081,13150,13136,11996,12109,11262,163150.84306254712,240088.77818596674,699145.3262877149,1304.0
28,8933,12901,13198,11833,12017,11182,166037.93782667475,241918.97311328157,728251.3428104904,1304.0
29,8928,12947,13359,11907,12102,11225,168700.1834277063,243451.99891884232,753327.0650477073,1304.0
30,8913,13049,13514,11979,12149,11348,171434.4248313575,244959.77409212376,779024.1249772662,1304.0
31,8697,12741,13469,11679,11994,11234,175566.06309823698,246784.32002286517,825763.6576202993,1304.0
32,8716,12779,13547,11708,12038,11296,177990.32851825136,248336.8754196042,857465.8275297342,1304.0
33,8712,12868,13652,11754,12102,11376,180756.6896845569,249780.93851519164,892056.7609060865,1304.0
34,8703,12917,13816,11826,12141,11469,184764.2533928077,251486.50984268505,976836.7091913463,1304.0
35,8710,13054,13961,11919,12228,11578,187725.6939288526,253188.98709370298,1.021783845134494e6,1304.0
36,8674,13132,14103,11965,12282,11662,191504.14255035933,254890.19460158778,1.1206510113118626e6,1304.0
37,8591,13079,14187,11970,12246,11641,195777.29904600282,256610.05710405554,1.2031001531174926e6,1304.0
38,8513,13070,14268,11939,12227,11685,199612.06662446988,258463.12772083472,1.2657403453321408e6,1304.0
39,8478,13038,14379,11982,12214,11699,206328.5501764833,260174.08240966796,1.4303316354906142e6,1304.0
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1305.0
1,12624,13296,11267,12726,13154,11307,112046.48454639259,207978.69784890732,388735.45047706546,1305.0
2,12751,13562,11253,12708,13252,11606,113499.45745917519,208773.78133455254,395730.9099161213,1305.0
3,12813,13730,11191,12763,13266,11705,115096.41504227009,209737.6220629359,403107.2308140145,1305.0
4,12759,13769,11073,12766,13176,11659,116968.62107183933,210912.87893772472,410842.1985139363,1305.0
5,12805,13824,10983,12799,13133,11680,118952.84884648042,212029.60889397454,417236.7564448707,1305.0
6,12703,13825,10864,12720,13037,11635,120956.65336310577,213193.15433586235,423863.7581532967,1305.0
7,12639,13824,10739,12645,12924,11633,122727.13586982658,214361.4432456282,430531.0897441496,1305.0
8,12545,13784,10620,12560,12800,11589,124444.21522862934,215414.8474082335,436694.3846442551,1305.0
9,12193,13324,10204,12162,12327,11232,126592.554084831,216703.12122496156,444643.4020288905,1305.0
10,12210,13245,9993,12068,12237,11143,128329.8252880341,217744.82984406114,454487.11089643405,1305.0
11,12056,13048,9739,11866,12056,10921,129751.3413766849,218763.91589584548,461142.9461699087,1305.0
12,12052,13023,9578,11801,11986,10866,131080.2776672919,219775.59807295148,467115.1127757853,1305.0
13,11926,12945,9428,11665,11854,10780,132350.28192060578,220786.5988438842,475129.6117155269,1305.0
14,11969,13023,9350,11664,11867,10811,133409.65644957047,221575.7211106458,481491.96875702124,1305.0
15,11903,13033,9272,11598,11829,10781,134613.49834552594,222831.34230077468,494993.3418897311,1305.0
16,11798,12930,9151,11480,11698,10701,136059.9764800415,223855.40187211573,504183.26279843703,1305.0
17,11785,12933,9109,11423,11699,10705,137410.56233076332,224860.17728191314,515397.30805150466,1305.0
18,11676,12852,9045,11325,11667,10581,139004.0741388016,226004.8416236844,526660.0017499166,1305.0
19,11548,12703,9011,11230,11541,10491,140151.48701379163,227029.9066439497,542310.1594084827,1305.0
20,11597,12706,8961,11215,11540,10509,141368.46441198906,228019.5913463819,553164.7984297564,1305.0
21,11640,12782,8957,11229,11598,10552,142648.8192307203,229024.46523162114,566980.630399566,1305.0
22,11668,12887,8952,11253,11632,10622,143769.74845444344,230051.26420523223,579743.3265735739,1305.0
23,11702,13026,8948,11279,11701,10696,144901.94718972832,231239.42985349626,596553.4143823315,1305.0
24,11699,13165,8924,11305,11737,10746,146349.6947859513,232461.4981997472,611979.3405440544,1305.0
25,11691,13202,8909,11275,11755,10772,147716.4666512225,233881.56951323483,632446.1788464116,1305.0
26,11744,13345,8899,11366,11778,10844,148925.53986143446,235230.63015564997,645600.6690130308,1305.0
27,11708,13394,8916,11420,11742,10856,150359.97813310823,236465.98497604064,660152.9615151924,1305.0
28,11620,13343,8913,11382,11700,10794,151790.66742878535,237935.66770296413,677903.4326173677,1305.0
29,11681,13346,8904,11403,11710,10818,152969.62070834512,239359.11008277006,697003.4407505201,1305.0
30,11818,13448,8914,11490,11772,10918,154147.33784661966,240753.24949312597,713658.1773107266,1305.0
31,11584,13273,8897,11354,11596,10804,155449.34203729557,242292.2528808426,729582.4070181537,1305.0
32,11664,13261,8891,11374,11590,10852,156744.63082516144,243415.3433836847,754421.530442391,1305.0
33,11786,13339,8883,11401,11711,10896,158392.78854335085,244562.2521481675,773863.7077267685,1305.0
34,11888,13393,8870,11405,11771,10975,159839.00802468444,245836.865047207,790692.0174931345,1305.0
35,11977,13479,8871,11454,11812,11061,161279.05440635514,247301.01091258082,807543.3736153293,1305.0
36,11972,13597,8869,11458,11869,11111,162927.90863521135,248866.32494652134,839583.3584580155,1305.0
37,11870,13640,8878,11431,11827,11130,164561.08213616372,250526.49508824924,889904.0496882448,1305.0
38,11829,13678,8857,11383,11805,11176,166098.97125576017,252144.6859418853,915316.6852683489,1305.0
39,11900,13697,8848,11410,11830,11205,167765.64118109056,253844.10421760118,940654.4501430322,1305.0
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1306.0
